Filename,Predictions
0-cat.png,cat
1-ship.png,automobile
2-ship.png,ship
3-airplane.png,ship
4-frog.png,bird
5-frog.png,cat
6-automobile.png,automobile
7-frog.png,bird
8-cat.png,cat
9-automobile.png,automobile
10-airplane.png,airplane
11-truck.png,truck
12-dog.png,frog
13-horse.png,horse
14-truck.png,truck
15-ship.png,ship
16-dog.png,dog
17-horse.png,horse
18-ship.png,truck
19-frog.png,horse
20-horse.png,horse
21-airplane.png,airplane
22-deer.png,airplane
23-truck.png,automobile
24-dog.png,horse
25-bird.png,frog
26-deer.png,dog
27-airplane.png,horse
28-truck.png,truck
29-frog.png,frog
30-frog.png,cat
31-dog.png,bird
32-deer.png,bird
33-dog.png,frog
34-truck.png,truck
35-bird.png,dog
36-deer.png,bird
37-automobile.png,automobile
38-truck.png,truck
39-dog.png,dog
40-deer.png,airplane
41-frog.png,bird
42-dog.png,cat
43-frog.png,frog
44-airplane.png,truck
45-truck.png,truck
46-cat.png,frog
47-truck.png,horse
48-horse.png,deer
49-frog.png,bird
